index,category_name,category_name_cn,category_url,status,requested_limit,collected_count,success_count,sku_count,output_dir,started_at,finished_at,error
230,Ball Pits & Accessories,配件,https://www.lazada.sg/catalog?q=Ball+Pits+%26+Accessories&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\054_Ball_Pits_&_Accessories,2026-07-11 13:53:50,2026-07-11 13:54:35,"Page.goto: Timeout 45000ms exceeded.
Call log:
  - navigating to ""https://www.lazada.sg/catalog?q=Ball%20Pits%20%26%20Accessories&from=hp_categories&src=all_channel"", waiting until ""domcontentloaded""
"
278,Baseball,Baseball,https://www.lazada.sg/catalog?q=Baseball&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\055_Baseball,2026-07-11 15:05:34,2026-07-11 15:12:42,[Errno 22] Invalid argument
279,Basketball,Basketball,https://www.lazada.sg/catalog?q=Basketball&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\056_Basketball,2026-07-11 15:25:34,2026-07-11 15:26:19,"Page.goto: Timeout 45000ms exceeded.
Call log:
  - navigating to ""https://www.lazada.sg/catalog?q=Basketball&from=hp_categories&src=all_channel"", waiting until ""domcontentloaded""
"
231,Bath,卫浴,https://www.lazada.sg/catalog?q=Bath&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\057_Bath,2026-07-11 15:49:34,2026-07-11 15:57:04,Lazada verification or traffic page detected
14,Bath & Baby Care,卫浴,https://www.lazada.sg/catalog?q=Bath+%26+Baby+Care&from=hp_categories&src=all_channel&price=20-,partial,100,40,30,92,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\058_Bath_&_Baby_Care,2026-07-11 15:58:28,2026-07-11 16:06:33,
232,Bath & Body,卫浴,https://www.lazada.sg/catalog?q=Bath+%26+Body&from=hp_categories&src=all_channel&price=20-,partial,100,40,30,207,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\059_Bath_&_Body,2026-07-11 16:07:07,2026-07-11 16:15:15,
233,Bath Mats,卫浴,https://www.lazada.sg/catalog?q=Bath+Mats&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\060_Bath_Mats,2026-07-11 16:16:07,2026-07-11 16:19:10,Lazada verification or traffic page detected
15,Bath Toys,卫浴,https://www.lazada.sg/catalog?q=Bath+Toys&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\061_Bath_Toys,2026-07-11 17:50:18,2026-07-11 17:52:31,Lazada verification or traffic page detected
234,Bathing Tubs & Accessories,配件,https://www.lazada.sg/catalog?q=Bathing+Tubs+%26+Accessories&from=hp_categories&src=all_channel&price=20-,partial,100,40,5,68,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\062_Bathing_Tubs_&_Accessories,2026-07-11 17:53:01,2026-07-11 17:58:54,
16,Bathroom Counter Storage,卫浴,https://www.lazada.sg/catalog?q=Bathroom+Counter+Storage&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\063_Bathroom_Counter_Storage,2026-07-11 17:59:40,2026-07-11 17:59:40,"Page.goto: Target page, context or browser has been closed"
